Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
40, 4096, 1, 1, 8, 0.383555, 0.415609, N/A, 0.00555657, 0.00322265, 0.366534, 0.186487, 2, 2, 8, 64, 1, 1, 62.7503, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 256, 1, 1, 8, 0.212241, 0.16613, N/A, 0.000659356, 0.000737286, 0.0265859, 0.0130856, 2, 2, 1, 8, 1, 1, 55.892, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 32768, 1, 1, 8, 0.933437, 1.04379, N/A, 0.0312473, 0.0209154, 2.61114, 1.18901, 2, 4, 16, 16, 1, 8, 78.735, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 256, 1, 1, 8, 0.212241, 0.16613, N/A, 0.000659356, 0.000737286, 0.0265859, 0.0130856, 2, 2, 1, 8, 1, 1, 55.892, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 4096, 1, 1, 8, 0.383555, 0.415609, N/A, 0.00555657, 0.00322265, 0.366534, 0.186487, 2, 2, 8, 64, 1, 1, 62.7503, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 256, 1, 1, 8, 0.212241, 0.16613, N/A, 0.000659356, 0.000737286, 0.0265859, 0.0130856, 2, 2, 1, 8, 1, 1, 55.892, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 64, 0.191395, 0.158406, N/A, 0.00225331, 0.00317504, 0.0935209, 0.00602601, 2, 2, 2, 4, 1, 1, 63.5131, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 64, 0.191395, 0.158406, N/A, 0.00225331, 0.00317504, 0.0935209, 0.00602601, 2, 2, 2, 4, 1, 1, 63.5131, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 64, 0.191395, 0.158406, N/A, 0.00225331, 0.00317504, 0.0935209, 0.00602601, 2, 2, 2, 4, 1, 1, 63.5131, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 64, 0.191395, 0.158406, N/A, 0.00225331, 0.00317504, 0.0935209, 0.00602601, 2, 2, 2, 4, 1, 1, 63.5131, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 64, 0.191395, 0.158406, N/A, 0.00225331, 0.00317504, 0.0935209, 0.00602601, 2, 2, 2, 4, 1, 1, 63.5131, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 64, 0.191395, 0.158406, N/A, 0.00225331, 0.00317504, 0.0935209, 0.00602601, 2, 2, 2, 4, 1, 1, 63.5131, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 8192, 1, 1, 64, 0.255766, 0.22514, N/A, 0.00503767, 0.00594202, 0.338115, 0.0209068, 2, 2, 4, 8, 1, 1, 73.2261, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 8192, 1, 1, 64, 0.255766, 0.22514, N/A, 0.00503767, 0.00594202, 0.338115, 0.0209068, 2, 2, 4, 8, 1, 1, 73.2261, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 8192, 1, 1, 64, 0.255766, 0.22514, N/A, 0.00503767, 0.00594202, 0.338115, 0.0209068, 2, 2, 4, 8, 1, 1, 73.2261, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 512, 1, 1, 32, 0.172254, 0.128311, N/A, 0.000636716, 0.00122655, 0.0232677, 0.00150404, 2, 2, 1, 2, 1, 1, 63.617, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 512, 1, 1, 32, 0.172254, 0.128311, N/A, 0.000636716, 0.00122655, 0.0232677, 0.00150404, 2, 2, 1, 2, 1, 1, 63.617, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 512, 1, 1, 32, 0.172254, 0.128311, N/A, 0.000636716, 0.00122655, 0.0232677, 0.00150404, 2, 2, 1, 2, 1, 1, 63.617, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 512, 1, 1, 32, 0.172254, 0.128311, N/A, 0.000636716, 0.00122655, 0.0232677, 0.00150404, 2, 2, 1, 2, 1, 1, 63.617, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 512, 1, 1, 32, 0.172254, 0.128311, N/A, 0.000636716, 0.00122655, 0.0232677, 0.00150404, 2, 2, 1, 2, 1, 1, 63.617, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 512, 1, 1, 32, 0.172254, 0.128311, N/A, 0.000636716, 0.00122655, 0.0232677, 0.00150404, 2, 2, 1, 2, 1, 1, 63.617, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 512, 1, 1, 32, 0.172254, 0.128311, N/A, 0.000636716, 0.00122655, 0.0232677, 0.00150404, 2, 2, 1, 2, 1, 1, 63.617, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
